     body        value   succeed
13  323.0  2130.189453  434176.0
6   311.0  2328.134277  466944.0
11  320.0  2442.128906  499712.0
16  332.0  2099.184326  499712.0
12  321.0  2305.397461  516096.0
15  329.0  1811.192017  532480.0
9   317.0  1957.589844  532480.0
8   316.0  1926.386353  532480.0
21  342.0  1882.187866  548864.0
17  333.0  2347.980469  548864.0
22  343.0  2310.875000  548864.0
18  336.0  2047.369141  581632.0
19  339.0  1968.539673  598016.0
1   303.0  1945.254395  614400.0
14  328.0  2147.948486  614400.0
4   308.0  1665.305298  647168.0
5   309.0  1752.151855  679936.0
0   302.0  1826.963013  737280.0
7   314.0  1793.881348  737280.0
3   307.0  1769.209961  770048.0
10  319.0  1740.536743  835584.0
2   304.0  1652.312866  851968.0
20  340.0  1891.288208  933888.0
23  345.0  1524.459106  983040.0



selected:
[323.0, 311.0, 320.0, 332.0, 321.0, 329.0, 317.0, 316.0, 342.0, 333.0, 343.0, 336.0, 339.0, 303.0, 328.0, 308.0, 309.0, 302.0, 314.0, 307.0]
     body         value   succeed
3   404.0   2671.263184  131072.0
15  433.0   2534.823486  180224.0
14  432.0   2768.786865  196608.0
13  431.0   2515.279053  212992.0
16  436.0   2669.461914  245760.0
21  449.0   2503.796143  262144.0
4   409.0   3007.622314  385024.0
11  428.0   2227.858154  483328.0
6   415.0   2147.560303  499712.0
9   420.0   3002.990967  499712.0
12  430.0   2926.871094  532480.0
2   403.0   2104.546875  548864.0
5   411.0   2142.200439  548864.0
20  447.0  11592.834961  630784.0
17  439.0   2097.887939  630784.0
18  441.0   2759.078125  663552.0
1   402.0   2944.578125  679936.0
0   401.0   1783.460327  770048.0
19  446.0   1835.980591  933888.0
8   419.0   1561.900024  950272.0
10  427.0   1533.690552  966656.0
7   418.0   1573.817017  983040.0



selected:
[404.0, 433.0, 432.0, 431.0, 436.0, 449.0, 409.0, 428.0, 415.0, 420.0, 430.0, 403.0, 411.0, 439.0, 441.0, 402.0, 401.0, 446.0, 419.0, 427.0]
     body        value   succeed
31  536.0  2489.253906  278528.0
22  526.0  2649.668701  311296.0
24  528.0  2533.939453  344064.0
34  539.0  2731.191650  344064.0
38  544.0  2311.109619  352256.0
32  537.0  2435.685791  368640.0
29  534.0  2431.417725  368640.0
15  517.0  2416.300049  385024.0
6   508.0  2541.557861  385024.0
8   510.0  2455.533447  385024.0
19  522.0  2250.628906  417792.0
43  549.0  2299.035889  417792.0
37  543.0  2362.942139  417792.0
1   501.0  2338.848877  434176.0
41  547.0  2437.005859  434176.0
30  535.0  2577.965820  450560.0
28  533.0  2426.805908  450560.0
2   502.0  2697.189209  466944.0
35  541.0  2438.663086  483328.0
25  529.0  2429.130615  499712.0
12  514.0  2418.525146  499712.0
18  520.0  2513.563232  499712.0
10  512.0  2254.737549  499712.0
42  548.0  2221.947021  499712.0
16  518.0  2235.108398  516096.0
27  532.0  1735.300659  532480.0
20  523.0  2500.501709  532480.0
9   511.0  2261.423828  565248.0
14  516.0  2057.652588  565248.0
13  515.0  1901.378540  565248.0
36  542.0  2268.010742  614400.0
0   500.0  1902.584473  663552.0
23  527.0  2180.402588  663552.0
17  519.0  2147.423584  679936.0
7   509.0  1908.511108  679936.0
5   507.0  1900.143433  688128.0
40  546.0  2004.582642  688128.0
39  545.0  1867.020142  704512.0
4   506.0  1850.499878  720896.0
11  513.0  1917.840820  737280.0
33  538.0  1948.471069  753664.0
3   503.0  1956.936401  753664.0
26  531.0  1550.028442  835584.0
21  524.0  1598.584595  950272.0



selected:
